park_slug,slug,name,ride_type,manufacturer,opened_year,status,height_ft,description
cedar-point,steel-vengeance,Steel Vengeance,hybrid_coaster,Rocky Mountain Construction,2018,operating,205,"Steel-track hybrid coaster built on the bones of the wooden Mean Streak, known for its airtime-heavy layout."
cedar-point,millennium-force,Millennium Force,steel_coaster,Intamin,2000,operating,310,"One of the first ""giga coasters"" to exceed 300 feet, with a signature 80-degree first drop."
cedar-point,maverick,Maverick,launch_coaster,Intamin,2007,operating,105,"Launch coaster known for its tight, twisted layout and out-of-control feel."
six-flags-magic-mountain,x2,X2,steel_coaster,Arrow Dynamics / S&S,2002,operating,200,"Fourth-dimension coaster with wing-mounted seats that spin independently of the track."
six-flags-magic-mountain,twisted-colossus,Twisted Colossus,hybrid_coaster,Rocky Mountain Construction,2015,operating,121,"Hybrid rebuild of the original wooden Colossus, featuring a dueling layout and two inversions."
six-flags-magic-mountain,full-throttle,Full Throttle,launch_coaster,Premier Rides,2013,operating,160,"Dual-launch coaster that sends riders through a 160-foot vertical loop."
kings-island,orion,Orion,steel_coaster,Bolliger & Mabillard,2020,operating,287,"Giga coaster with a 287-foot first drop and a layout that hugs the park's tree line."
kings-island,the-beast,The Beast,wooden_coaster,Kings Island Design Team,1979,operating,110,"One of the longest wooden coasters ever built, running through wooded terrain at night-ride speed."
islands-of-adventure,velocicoaster,VelociCoaster,launch_coaster,Intamin,2021,operating,155,"Jurassic Park-themed launch coaster with a 155-foot top hat and two inversions."
islands-of-adventure,hagrids-motorbike-adventure,Hagrid's Magical Creatures Motorbike Adventure,launch_coaster,Universal Creative,2019,operating,,"Story coaster through the Forbidden Forest with multiple launches and a motorbike-and-sidecar ride vehicle."
disneyland,space-mountain,Space Mountain,dark_ride,WED Enterprises,1977,operating,,"Indoor space-themed coaster that popularized the darkened, effects-driven coaster format."
disneyland,matterhorn-bobsleds,Matterhorn Bobsleds,steel_coaster,Arrow Development,1959,operating,147,"Widely credited as the first tubular steel track coaster, themed to the Swiss Matterhorn."
six-flags-great-adventure,kingda-ka,Kingda Ka,launch_coaster,Intamin,2005,operating,456,"Hydraulic-launch coaster that reaches 456 feet at the top of its spike before a near-vertical drop."
six-flags-great-adventure,nitro,Nitro,steel_coaster,Bolliger & Mabillard,2001,operating,230,"Hypercoaster known for its smooth, floating airtime over rolling hills."
busch-gardens-williamsburg,pantheon,Pantheon,launch_coaster,Intamin,2022,operating,180,"Multi-launch coaster themed to Roman mythology with the fastest launch speed in the park."
busch-gardens-williamsburg,apollos-chariot,Apollo's Chariot,steel_coaster,Bolliger & Mabillard,1999,operating,170,"Hypercoaster set into the park's hillside terrain with repeated airtime hills."
alton-towers,nemesis,Nemesis,inverted_coaster,Bolliger & Mabillard,1994,operating,42,"Inverted coaster built into a sunken arena, widely regarded as a landmark UK coaster design."
alton-towers,wicker-man,Wicker Man,wooden_coaster,Great Coasters International,2018,operating,72,"Wooden coaster themed around a fire-and-folklore narrative, with a fire-effect finale."
europa-park,silver-star,Silver Star,steel_coaster,Bolliger & Mabillard,2002,operating,240,"Hypercoaster themed to European space travel, one of the tallest coasters in Europe at its debut."
europa-park,wodan-timburcoaster,Wodan Timburcoaster,wooden_coaster,Great Coasters International,2012,operating,102,"Nordic-themed wooden coaster with a layout built around the park's forested terrain."
silver-dollar-city,time-traveler,Time Traveler,spinning_coaster,S&S Sansei,2018,operating,100,"Spinning coaster billed on debut as the world's steepest, with a 100-foot drop at a 100-degree angle."
